source_lang,target_lang,source_text,target_text
pa,en,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕੌਫੀ ਖਰੀਦਦੇ ਹਨ।,They buy coffee in the restaurant.
hi,pa,वे रेस्तरां में कॉफी खरीदते हैं।,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕੌਫੀ ਖਰੀਦਦੇ ਹਨ।
pa,hi,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕੌਫੀ ਖਰੀਦਦੇ ਹਨ।,वे रेस्तरां में कॉफी खरीदते हैं।
en,hi,I want cars in the city.,मुझे शहर में कारें चाहिए।
hi,en,मुझे शहर में कारें चाहिए।,I want cars in the city.
en,pa,I want cars in the city.,ਮੈਨੂੰ ਸ਼ਹਿਰ ਵਿੱਚ ਕਾਰਾਂ ਚਾਹੀਦੀਆਂ ਹਨ।
pa,en,ਮੈਨੂੰ ਸ਼ਹਿਰ ਵਿੱਚ ਕਾਰਾਂ ਚਾਹੀਦੀਆਂ ਹਨ।,I want cars in the city.
hi,pa,मुझे शहर में कारें चाहिए।,ਮੈਨੂੰ ਸ਼ਹਿਰ ਵਿੱਚ ਕਾਰਾਂ ਚਾਹੀਦੀਆਂ ਹਨ।
pa,hi,ਮੈਨੂੰ ਸ਼ਹਿਰ ਵਿੱਚ ਕਾਰਾਂ ਚਾਹੀਦੀਆਂ ਹਨ।,मुझे शहर में कारें चाहिए।
en,hi,She know music in the village.,वह गाँव में संगीत जानती है।
hi,en,वह गाँव में संगीत जानती है।,She know music in the village.
en,pa,She know music in the village.,ਉਹ ਪਿੰਡ ਵਿੱਚ ਸੰਗੀਤ ਜਾਣਦੀ ਹੈ।
pa,en,ਉਹ ਪਿੰਡ ਵਿੱਚ ਸੰਗੀਤ ਜਾਣਦੀ ਹੈ।,She know music in the village.
hi,pa,वह गाँव में संगीत जानती है।,ਉਹ ਪਿੰਡ ਵਿੱਚ ਸੰਗੀਤ ਜਾਣਦੀ ਹੈ।
pa,hi,ਉਹ ਪਿੰਡ ਵਿੱਚ ਸੰਗੀਤ ਜਾਣਦੀ ਹੈ।,वह गाँव में संगीत जानती है।
en,hi,We buy coffee in the school.,हम स्कूल में कॉफी खरीदते हैं।
hi,en,हम स्कूल में कॉफी खरीदते हैं।,We buy coffee in the school.
en,pa,We buy coffee in the school.,ਅਸੀਂ ਸਕੂਲ ਵਿੱਚ ਕੌਫੀ ਖਰੀਦਦੇ ਹਾਂ।
pa,en,ਅਸੀਂ ਸਕੂਲ ਵਿੱਚ ਕੌਫੀ ਖਰੀਦਦੇ ਹਾਂ।,We buy coffee in the school.
hi,pa,हम स्कूल में कॉफी खरीदते हैं।,ਅਸੀਂ ਸਕੂਲ ਵਿੱਚ ਕੌਫੀ ਖਰੀਦਦੇ ਹਾਂ।
pa,hi,ਅਸੀਂ ਸਕੂਲ ਵਿੱਚ ਕੌਫੀ ਖਰੀਦਦੇ ਹਾਂ।,हम स्कूल में कॉफी खरीदते हैं।
en,hi,They watch coffee in the city.,वे शहर में कॉफी देखते हैं।
hi,en,वे शहर में कॉफी देखते हैं।,They watch coffee in the city.
en,pa,They watch coffee in the city.,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਕੌਫੀ ਦੇਖਦੇ ਹਨ।
pa,en,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਕੌਫੀ ਦੇਖਦੇ ਹਨ।,They watch coffee in the city.
hi,pa,वे शहर में कॉफी देखते हैं।,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਕੌਫੀ ਦੇਖਦੇ ਹਨ।
pa,hi,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਕੌਫੀ ਦੇਖਦੇ ਹਨ।,वे शहर में कॉफी देखते हैं।
en,hi,We see food in the market.,हम बाजार में खाना देखते हैं.
hi,en,हम बाजार में खाना देखते हैं.,We see food in the market.
en,pa,We see food in the market.,ਅਸੀਂ ਬਾਜ਼ਾਰ ਵਿਚ ਭੋਜਨ ਦੇਖਦੇ ਹਾਂ।
pa,en,ਅਸੀਂ ਬਾਜ਼ਾਰ ਵਿਚ ਭੋਜਨ ਦੇਖਦੇ ਹਾਂ।,We see food in the market.
hi,pa,हम बाजार में खाना देखते हैं.,ਅਸੀਂ ਬਾਜ਼ਾਰ ਵਿਚ ਭੋਜਨ ਦੇਖਦੇ ਹਾਂ।
pa,hi,ਅਸੀਂ ਬਾਜ਼ਾਰ ਵਿਚ ਭੋਜਨ ਦੇਖਦੇ ਹਾਂ।,हम बाजार में खाना देखते हैं.
en,hi,You see tea in the home.,आप घर में चाय देखते हैं.
hi,en,आप घर में चाय देखते हैं.,You see tea in the home.
en,pa,You see tea in the home.,ਤੁਸੀਂ ਘਰ ਵਿੱਚ ਚਾਹ ਦੇਖੋ।
pa,en,ਤੁਸੀਂ ਘਰ ਵਿੱਚ ਚਾਹ ਦੇਖੋ।,You see tea in the home.
hi,pa,आप घर में चाय देखते हैं.,ਤੁਸੀਂ ਘਰ ਵਿੱਚ ਚਾਹ ਦੇਖੋ।
pa,hi,ਤੁਸੀਂ ਘਰ ਵਿੱਚ ਚਾਹ ਦੇਖੋ।,आप घर में चाय देखते हैं.
en,hi,She prefer music in the restaurant.,वह रेस्तरां में संगीत पसंद करती है।
hi,en,वह रेस्तरां में संगीत पसंद करती है।,She prefer music in the restaurant.
en,pa,She prefer music in the restaurant.,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਸੰਗੀਤ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੀ ਹੈ।
pa,en,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਸੰਗੀਤ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੀ ਹੈ।,She prefer music in the restaurant.
hi,pa,वह रेस्तरां में संगीत पसंद करती है।,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਸੰਗੀਤ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੀ ਹੈ।
pa,hi,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਸੰਗੀਤ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੀ ਹੈ।,वह रेस्तरां में संगीत पसंद करती है।
en,hi,He like coffee in the office.,उसे ऑफिस में कॉफ़ी पसंद है.
hi,en,उसे ऑफिस में कॉफ़ी पसंद है.,He like coffee in the office.
en,pa,He like coffee in the office.,ਉਸਨੂੰ ਦਫ਼ਤਰ ਵਿੱਚ ਕੌਫੀ ਪਸੰਦ ਹੈ।
pa,en,ਉਸਨੂੰ ਦਫ਼ਤਰ ਵਿੱਚ ਕੌਫੀ ਪਸੰਦ ਹੈ।,He like coffee in the office.
hi,pa,उसे ऑफिस में कॉफ़ी पसंद है.,ਉਸਨੂੰ ਦਫ਼ਤਰ ਵਿੱਚ ਕੌਫੀ ਪਸੰਦ ਹੈ।
pa,hi,ਉਸਨੂੰ ਦਫ਼ਤਰ ਵਿੱਚ ਕੌਫੀ ਪਸੰਦ ਹੈ।,उसे ऑफिस में कॉफ़ी पसंद है.
en,hi,I visit cricket in the village.,मैं गांव में क्रिकेट देखने जाता हूं.
hi,en,मैं गांव में क्रिकेट देखने जाता हूं.,I visit cricket in the village.
en,pa,I visit cricket in the village.,ਮੈਂ ਪਿੰਡ ਵਿੱਚ ਕ੍ਰਿਕਟ ਦਾ ਦੌਰਾ ਕਰਦਾ ਹਾਂ।
pa,en,ਮੈਂ ਪਿੰਡ ਵਿੱਚ ਕ੍ਰਿਕਟ ਦਾ ਦੌਰਾ ਕਰਦਾ ਹਾਂ।,I visit cricket in the village.
hi,pa,मैं गांव में क्रिकेट देखने जाता हूं.,ਮੈਂ ਪਿੰਡ ਵਿੱਚ ਕ੍ਰਿਕਟ ਦਾ ਦੌਰਾ ਕਰਦਾ ਹਾਂ।
pa,hi,ਮੈਂ ਪਿੰਡ ਵਿੱਚ ਕ੍ਰਿਕਟ ਦਾ ਦੌਰਾ ਕਰਦਾ ਹਾਂ।,मैं गांव में क्रिकेट देखने जाता हूं.
en,hi,They like cricket in the home.,उन्हें घर में क्रिकेट पसंद है.
hi,en,उन्हें घर में क्रिकेट पसंद है.,They like cricket in the home.
en,pa,They like cricket in the home.,ਉਨ੍ਹਾਂ ਨੂੰ ਘਰ 'ਚ ਕ੍ਰਿਕਟ ਪਸੰਦ ਹੈ।
pa,en,ਉਨ੍ਹਾਂ ਨੂੰ ਘਰ 'ਚ ਕ੍ਰਿਕਟ ਪਸੰਦ ਹੈ।,They like cricket in the home.
hi,pa,उन्हें घर में क्रिकेट पसंद है.,ਉਨ੍ਹਾਂ ਨੂੰ ਘਰ 'ਚ ਕ੍ਰਿਕਟ ਪਸੰਦ ਹੈ।
pa,hi,ਉਨ੍ਹਾਂ ਨੂੰ ਘਰ 'ਚ ਕ੍ਰਿਕਟ ਪਸੰਦ ਹੈ।,उन्हें घर में क्रिकेट पसंद है.
en,hi,They see cars in the school.,वे स्कूल में कारें देखते हैं।
hi,en,वे स्कूल में कारें देखते हैं।,They see cars in the school.
en,pa,They see cars in the school.,ਉਹ ਸਕੂਲ ਵਿਚ ਕਾਰਾਂ ਦੇਖਦੇ ਹਨ।
pa,en,ਉਹ ਸਕੂਲ ਵਿਚ ਕਾਰਾਂ ਦੇਖਦੇ ਹਨ।,They see cars in the school.
hi,pa,वे स्कूल में कारें देखते हैं।,ਉਹ ਸਕੂਲ ਵਿਚ ਕਾਰਾਂ ਦੇਖਦੇ ਹਨ।
pa,hi,ਉਹ ਸਕੂਲ ਵਿਚ ਕਾਰਾਂ ਦੇਖਦੇ ਹਨ।,वे स्कूल में कारें देखते हैं।
en,hi,We know apples in the village.,हम गाँव में सेब जानते हैं।
hi,en,हम गाँव में सेब जानते हैं।,We know apples in the village.
en,pa,We know apples in the village.,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਸੇਬ ਜਾਣਦੇ ਹਾਂ।
pa,en,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਸੇਬ ਜਾਣਦੇ ਹਾਂ।,We know apples in the village.
hi,pa,हम गाँव में सेब जानते हैं।,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਸੇਬ ਜਾਣਦੇ ਹਾਂ।
pa,hi,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਸੇਬ ਜਾਣਦੇ ਹਾਂ।,हम गाँव में सेब जानते हैं।
en,hi,We see tea in the park.,हम पार्क में चाय देखते हैं।
hi,en,हम पार्क में चाय देखते हैं।,We see tea in the park.
en,pa,We see tea in the park.,ਅਸੀਂ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਦੇਖਦੇ ਹਾਂ।
pa,en,ਅਸੀਂ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਦੇਖਦੇ ਹਾਂ।,We see tea in the park.
hi,pa,हम पार्क में चाय देखते हैं।,ਅਸੀਂ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਦੇਖਦੇ ਹਾਂ।
pa,hi,ਅਸੀਂ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਦੇਖਦੇ ਹਾਂ।,हम पार्क में चाय देखते हैं।
en,hi,You know food in the restaurant.,आप रेस्तरां में खाना जानते हैं.
hi,en,आप रेस्तरां में खाना जानते हैं.,You know food in the restaurant.
en,pa,You know food in the restaurant.,ਤੁਸੀਂ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਖਾਣਾ ਜਾਣਦੇ ਹੋ।
pa,en,ਤੁਸੀਂ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਖਾਣਾ ਜਾਣਦੇ ਹੋ।,You know food in the restaurant.
hi,pa,आप रेस्तरां में खाना जानते हैं.,ਤੁਸੀਂ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਖਾਣਾ ਜਾਣਦੇ ਹੋ।
pa,hi,ਤੁਸੀਂ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਖਾਣਾ ਜਾਣਦੇ ਹੋ।,आप रेस्तरां में खाना जानते हैं.
en,hi,He want cricket in the school.,वह स्कूल में क्रिकेट चाहता है.
hi,en,वह स्कूल में क्रिकेट चाहता है.,He want cricket in the school.
en,pa,He want cricket in the school.,ਉਹ ਸਕੂਲ ਵਿੱਚ ਕ੍ਰਿਕਟ ਚਾਹੁੰਦਾ ਹੈ।
pa,en,ਉਹ ਸਕੂਲ ਵਿੱਚ ਕ੍ਰਿਕਟ ਚਾਹੁੰਦਾ ਹੈ।,He want cricket in the school.
hi,pa,वह स्कूल में क्रिकेट चाहता है.,ਉਹ ਸਕੂਲ ਵਿੱਚ ਕ੍ਰਿਕਟ ਚਾਹੁੰਦਾ ਹੈ।
pa,hi,ਉਹ ਸਕੂਲ ਵਿੱਚ ਕ੍ਰਿਕਟ ਚਾਹੁੰਦਾ ਹੈ।,वह स्कूल में क्रिकेट चाहता है.
en,hi,She visit books in the home.,वह घर में किताबें देखने जाती है।
hi,en,वह घर में किताबें देखने जाती है।,She visit books in the home.
en,pa,She visit books in the home.,ਉਹ ਘਰ ਵਿਚ ਕਿਤਾਬਾਂ ਦੇਖਦੀ ਹੈ।
pa,en,ਉਹ ਘਰ ਵਿਚ ਕਿਤਾਬਾਂ ਦੇਖਦੀ ਹੈ।,She visit books in the home.
hi,pa,वह घर में किताबें देखने जाती है।,ਉਹ ਘਰ ਵਿਚ ਕਿਤਾਬਾਂ ਦੇਖਦੀ ਹੈ।
pa,hi,ਉਹ ਘਰ ਵਿਚ ਕਿਤਾਬਾਂ ਦੇਖਦੀ ਹੈ।,वह घर में किताबें देखने जाती है।
en,hi,She play cricket in the home.,वह घर में क्रिकेट खेलती है।
hi,en,वह घर में क्रिकेट खेलती है।,She play cricket in the home.
en,pa,She play cricket in the home.,ਉਹ ਘਰ ਵਿੱਚ ਕ੍ਰਿਕਟ ਖੇਡਦੀ ਹੈ।
pa,en,ਉਹ ਘਰ ਵਿੱਚ ਕ੍ਰਿਕਟ ਖੇਡਦੀ ਹੈ।,She play cricket in the home.
hi,pa,वह घर में क्रिकेट खेलती है।,ਉਹ ਘਰ ਵਿੱਚ ਕ੍ਰਿਕਟ ਖੇਡਦੀ ਹੈ।
pa,hi,ਉਹ ਘਰ ਵਿੱਚ ਕ੍ਰਿਕਟ ਖੇਡਦੀ ਹੈ।,वह घर में क्रिकेट खेलती है।
en,hi,I know coffee in the school.,मैं स्कूल में कॉफ़ी जानता हूँ।
hi,en,मैं स्कूल में कॉफ़ी जानता हूँ।,I know coffee in the school.
en,pa,I know coffee in the school.,ਮੈਂ ਸਕੂਲ ਵਿੱਚ ਕੌਫੀ ਨੂੰ ਜਾਣਦਾ ਹਾਂ।
pa,en,ਮੈਂ ਸਕੂਲ ਵਿੱਚ ਕੌਫੀ ਨੂੰ ਜਾਣਦਾ ਹਾਂ।,I know coffee in the school.
hi,pa,मैं स्कूल में कॉफ़ी जानता हूँ।,ਮੈਂ ਸਕੂਲ ਵਿੱਚ ਕੌਫੀ ਨੂੰ ਜਾਣਦਾ ਹਾਂ।
pa,hi,ਮੈਂ ਸਕੂਲ ਵਿੱਚ ਕੌਫੀ ਨੂੰ ਜਾਣਦਾ ਹਾਂ।,मैं स्कूल में कॉफ़ी जानता हूँ।
en,hi,You eat tea in the office.,आप ऑफिस में चाय पीते हैं.
hi,en,आप ऑफिस में चाय पीते हैं.,You eat tea in the office.
en,pa,You eat tea in the office.,ਤੁਸੀਂ ਦਫ਼ਤਰ ਵਿੱਚ ਚਾਹ ਖਾਓ।
pa,en,ਤੁਸੀਂ ਦਫ਼ਤਰ ਵਿੱਚ ਚਾਹ ਖਾਓ।,You eat tea in the office.
hi,pa,आप ऑफिस में चाय पीते हैं.,ਤੁਸੀਂ ਦਫ਼ਤਰ ਵਿੱਚ ਚਾਹ ਖਾਓ।
pa,hi,ਤੁਸੀਂ ਦਫ਼ਤਰ ਵਿੱਚ ਚਾਹ ਖਾਓ।,आप ऑफिस में चाय पीते हैं.
en,hi,He play coffee in the city.,वह शहर में कॉफ़ी खेलता है।
hi,en,वह शहर में कॉफ़ी खेलता है।,He play coffee in the city.
en,pa,He play coffee in the city.,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਕੌਫੀ ਖੇਡਦਾ ਹੈ।
pa,en,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਕੌਫੀ ਖੇਡਦਾ ਹੈ।,He play coffee in the city.
hi,pa,वह शहर में कॉफ़ी खेलता है।,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਕੌਫੀ ਖੇਡਦਾ ਹੈ।
pa,hi,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਕੌਫੀ ਖੇਡਦਾ ਹੈ।,वह शहर में कॉफ़ी खेलता है।
en,hi,We watch books in the village.,हम गाँव में किताबें देखते हैं।
hi,en,हम गाँव में किताबें देखते हैं।,We watch books in the village.
en,pa,We watch books in the village.,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਕਿਤਾਬਾਂ ਦੇਖਦੇ ਹਾਂ।
pa,en,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਕਿਤਾਬਾਂ ਦੇਖਦੇ ਹਾਂ।,We watch books in the village.
hi,pa,हम गाँव में किताबें देखते हैं।,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਕਿਤਾਬਾਂ ਦੇਖਦੇ ਹਾਂ।
pa,hi,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਕਿਤਾਬਾਂ ਦੇਖਦੇ ਹਾਂ।,हम गाँव में किताबें देखते हैं।
en,hi,They eat cars in the restaurant.,वे रेस्तरां में कार खाते हैं।
hi,en,वे रेस्तरां में कार खाते हैं।,They eat cars in the restaurant.
en,pa,They eat cars in the restaurant.,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਾਰਾਂ ਖਾਂਦੇ ਹਨ।
pa,en,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਾਰਾਂ ਖਾਂਦੇ ਹਨ।,They eat cars in the restaurant.
hi,pa,वे रेस्तरां में कार खाते हैं।,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਾਰਾਂ ਖਾਂਦੇ ਹਨ।
pa,hi,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਾਰਾਂ ਖਾਂਦੇ ਹਨ।,वे रेस्तरां में कार खाते हैं।
en,hi,You know food in the home.,आप घर में खाना जानते हैं.
hi,en,आप घर में खाना जानते हैं.,You know food in the home.
en,pa,You know food in the home.,ਤੁਹਾਨੂੰ ਘਰ ਵਿੱਚ ਭੋਜਨ ਪਤਾ ਹੈ.
pa,en,ਤੁਹਾਨੂੰ ਘਰ ਵਿੱਚ ਭੋਜਨ ਪਤਾ ਹੈ.,You know food in the home.
hi,pa,आप घर में खाना जानते हैं.,ਤੁਹਾਨੂੰ ਘਰ ਵਿੱਚ ਭੋਜਨ ਪਤਾ ਹੈ.
pa,hi,ਤੁਹਾਨੂੰ ਘਰ ਵਿੱਚ ਭੋਜਨ ਪਤਾ ਹੈ.,आप घर में खाना जानते हैं.
en,hi,We prefer football in the city.,हम शहर में फुटबॉल पसंद करते हैं।
hi,en,हम शहर में फुटबॉल पसंद करते हैं।,We prefer football in the city.
en,pa,We prefer football in the city.,ਅਸੀਂ ਸ਼ਹਿਰ ਵਿੱਚ ਫੁੱਟਬਾਲ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹਾਂ।
pa,en,ਅਸੀਂ ਸ਼ਹਿਰ ਵਿੱਚ ਫੁੱਟਬਾਲ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹਾਂ।,We prefer football in the city.
hi,pa,हम शहर में फुटबॉल पसंद करते हैं।,ਅਸੀਂ ਸ਼ਹਿਰ ਵਿੱਚ ਫੁੱਟਬਾਲ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹਾਂ।
pa,hi,ਅਸੀਂ ਸ਼ਹਿਰ ਵਿੱਚ ਫੁੱਟਬਾਲ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹਾਂ।,हम शहर में फुटबॉल पसंद करते हैं।
en,hi,You visit music in the park.,आप पार्क में संगीत देखने जाएँ।
hi,en,आप पार्क में संगीत देखने जाएँ।,You visit music in the park.
en,pa,You visit music in the park.,ਤੁਸੀਂ ਪਾਰਕ ਵਿੱਚ ਸੰਗੀਤ ਦਾ ਦੌਰਾ ਕਰਦੇ ਹੋ।
pa,en,ਤੁਸੀਂ ਪਾਰਕ ਵਿੱਚ ਸੰਗੀਤ ਦਾ ਦੌਰਾ ਕਰਦੇ ਹੋ।,You visit music in the park.
hi,pa,आप पार्क में संगीत देखने जाएँ।,ਤੁਸੀਂ ਪਾਰਕ ਵਿੱਚ ਸੰਗੀਤ ਦਾ ਦੌਰਾ ਕਰਦੇ ਹੋ।
pa,hi,ਤੁਸੀਂ ਪਾਰਕ ਵਿੱਚ ਸੰਗੀਤ ਦਾ ਦੌਰਾ ਕਰਦੇ ਹੋ।,आप पार्क में संगीत देखने जाएँ।
en,hi,They prefer tea in the office.,वे ऑफिस में चाय पीना पसंद करते हैं।
hi,en,वे ऑफिस में चाय पीना पसंद करते हैं।,They prefer tea in the office.
en,pa,They prefer tea in the office.,ਉਹ ਦਫ਼ਤਰ ਵਿੱਚ ਚਾਹ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹਨ।
pa,en,ਉਹ ਦਫ਼ਤਰ ਵਿੱਚ ਚਾਹ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹਨ।,They prefer tea in the office.
hi,pa,वे ऑफिस में चाय पीना पसंद करते हैं।,ਉਹ ਦਫ਼ਤਰ ਵਿੱਚ ਚਾਹ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹਨ।
pa,hi,ਉਹ ਦਫ਼ਤਰ ਵਿੱਚ ਚਾਹ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹਨ।,वे ऑफिस में चाय पीना पसंद करते हैं।
en,hi,He watch tea in the park.,वह पार्क में चाय देखता है।
hi,en,वह पार्क में चाय देखता है।,He watch tea in the park.
en,pa,He watch tea in the park.,ਉਹ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਦੇਖਦਾ ਹੈ।
pa,en,ਉਹ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਦੇਖਦਾ ਹੈ।,He watch tea in the park.
hi,pa,वह पार्क में चाय देखता है।,ਉਹ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਦੇਖਦਾ ਹੈ।
pa,hi,ਉਹ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਦੇਖਦਾ ਹੈ।,वह पार्क में चाय देखता है।
en,hi,They eat tea in the office.,वे ऑफिस में चाय पीते हैं।
hi,en,वे ऑफिस में चाय पीते हैं।,They eat tea in the office.
en,pa,They eat tea in the office.,ਉਹ ਦਫ਼ਤਰ ਵਿੱਚ ਚਾਹ ਖਾਂਦੇ ਹਨ।
pa,en,ਉਹ ਦਫ਼ਤਰ ਵਿੱਚ ਚਾਹ ਖਾਂਦੇ ਹਨ।,They eat tea in the office.
hi,pa,वे ऑफिस में चाय पीते हैं।,ਉਹ ਦਫ਼ਤਰ ਵਿੱਚ ਚਾਹ ਖਾਂਦੇ ਹਨ।
pa,hi,ਉਹ ਦਫ਼ਤਰ ਵਿੱਚ ਚਾਹ ਖਾਂਦੇ ਹਨ।,वे ऑफिस में चाय पीते हैं।
en,hi,She know apples in the village.,वह गाँव में सेब जानती है।
hi,en,वह गाँव में सेब जानती है।,She know apples in the village.
en,pa,She know apples in the village.,ਉਹ ਪਿੰਡ ਵਿੱਚ ਸੇਬ ਜਾਣਦੀ ਹੈ।
pa,en,ਉਹ ਪਿੰਡ ਵਿੱਚ ਸੇਬ ਜਾਣਦੀ ਹੈ।,She know apples in the village.
hi,pa,वह गाँव में सेब जानती है।,ਉਹ ਪਿੰਡ ਵਿੱਚ ਸੇਬ ਜਾਣਦੀ ਹੈ।
pa,hi,ਉਹ ਪਿੰਡ ਵਿੱਚ ਸੇਬ ਜਾਣਦੀ ਹੈ।,वह गाँव में सेब जानती है।
en,hi,He watch books in the school.,वह स्कूल में किताबें देखता है।
hi,en,वह स्कूल में किताबें देखता है।,He watch books in the school.
en,pa,He watch books in the school.,ਉਹ ਸਕੂਲ ਵਿਚ ਕਿਤਾਬਾਂ ਦੇਖਦਾ ਹੈ।
pa,en,ਉਹ ਸਕੂਲ ਵਿਚ ਕਿਤਾਬਾਂ ਦੇਖਦਾ ਹੈ।,He watch books in the school.
hi,pa,वह स्कूल में किताबें देखता है।,ਉਹ ਸਕੂਲ ਵਿਚ ਕਿਤਾਬਾਂ ਦੇਖਦਾ ਹੈ।
pa,hi,ਉਹ ਸਕੂਲ ਵਿਚ ਕਿਤਾਬਾਂ ਦੇਖਦਾ ਹੈ।,वह स्कूल में किताबें देखता है।
en,hi,She eat cars in the restaurant.,वह रेस्तरां में कारें खाती हैं।
hi,en,वह रेस्तरां में कारें खाती हैं।,She eat cars in the restaurant.
en,pa,She eat cars in the restaurant.,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਾਰਾਂ ਖਾਂਦੀ ਹੈ।
pa,en,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਾਰਾਂ ਖਾਂਦੀ ਹੈ।,She eat cars in the restaurant.
hi,pa,वह रेस्तरां में कारें खाती हैं।,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਾਰਾਂ ਖਾਂਦੀ ਹੈ।
pa,hi,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਾਰਾਂ ਖਾਂਦੀ ਹੈ।,वह रेस्तरां में कारें खाती हैं।
en,hi,They know apples in the restaurant.,वे रेस्तरां में सेब जानते हैं।
hi,en,वे रेस्तरां में सेब जानते हैं।,They know apples in the restaurant.
en,pa,They know apples in the restaurant.,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਸੇਬ ਜਾਣਦੇ ਹਨ।
pa,en,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਸੇਬ ਜਾਣਦੇ ਹਨ।,They know apples in the restaurant.
hi,pa,वे रेस्तरां में सेब जानते हैं।,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਸੇਬ ਜਾਣਦੇ ਹਨ।
pa,hi,ਉਹ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਸੇਬ ਜਾਣਦੇ ਹਨ।,वे रेस्तरां में सेब जानते हैं।
en,hi,They play football in the village.,वे गांव में फुटबॉल खेलते हैं.
hi,en,वे गांव में फुटबॉल खेलते हैं.,They play football in the village.
en,pa,They play football in the village.,ਉਹ ਪਿੰਡ ਵਿੱਚ ਫੁੱਟਬਾਲ ਖੇਡਦੇ ਹਨ।
pa,en,ਉਹ ਪਿੰਡ ਵਿੱਚ ਫੁੱਟਬਾਲ ਖੇਡਦੇ ਹਨ।,They play football in the village.
hi,pa,वे गांव में फुटबॉल खेलते हैं.,ਉਹ ਪਿੰਡ ਵਿੱਚ ਫੁੱਟਬਾਲ ਖੇਡਦੇ ਹਨ।
pa,hi,ਉਹ ਪਿੰਡ ਵਿੱਚ ਫੁੱਟਬਾਲ ਖੇਡਦੇ ਹਨ।,वे गांव में फुटबॉल खेलते हैं.
en,hi,She buy movies in the village.,वह गांव में फिल्में खरीदती है।
hi,en,वह गांव में फिल्में खरीदती है।,She buy movies in the village.
